id,hometown,habit,age,gender,result
7699,Hai Phong,football,21,female,yes
7700,Vinh Phuc,badminton,20,female,yes
7701,Vinh,marathon,23,female,yes
7702,Ha Noi,volleyball,22,male,no
7703,Vinh,football,18,male,no
7704,Hai Phong,football,18,female,yes
7705,Binh Duong,volleyball,23,female,yes
7706,Vinh Phuc,badminton,23,male,no
7707,Ha Noi,volleyball,23,male,no
7708,Binh Duong,marathon,21,male,yes
7709,Vinh Phuc,badminton,21,female,no
7710,Vinh,marathon,23,female,no
7711,Binh Duong,badminton,20,female,no
7712,Vinh,volleyball,21,female,yes
7713,Ha Noi,marathon,18,male,yes
7714,Hai Duong,marathon,22,female,no
7715,Binh Duong,badminton,18,female,no
7716,Hai Duong,badminton,21,male,no
7717,Ha Noi,volleyball,21,female,no
7718,Ha Noi,badminton,22,male,no
7719,Binh Duong,badminton,20,female,no
7720,Ha Noi,marathon,22,male,yes
7721,Ha Noi,badminton,19,male,no
7722,Vinh,marathon,18,female,yes
7723,Vinh Phuc,volleyball,22,male,yes
7724,Vinh,badminton,20,female,no
7725,Hai Phong,football,21,male,no
7726,Vinh,football,23,female,no
7727,Ha Noi,marathon,19,male,yes
7728,Hai Phong,football,18,male,no
7729,Ha Noi,marathon,21,female,yes
7730,Vinh Phuc,football,22,female,yes
7731,Binh Duong,marathon,20,male,no
7732,Hai Phong,volleyball,21,female,yes
7733,Ha Noi,volleyball,23,female,no
7734,Hai Phong,badminton,18,female,no
7735,Hai Duong,football,20,female,no
7736,Hai Duong,football,19,female,yes
7737,Ca Mau,volleyball,21,male,no
7738,Hai Phong,badminton,20,male,yes
7739,Vinh,marathon,19,female,no
7740,Hai Duong,football,20,male,yes
7741,Vinh Phuc,marathon,22,female,no
7742,Binh Duong,marathon,18,female,no
7743,Vinh Phuc,badminton,20,male,no
7744,Vinh Phuc,marathon,18,male,yes
7745,Ha Noi,volleyball,20,male,no
7746,Hai Duong,marathon,19,female,no
7747,Binh Duong,volleyball,21,female,no
7748,Hai Phong,volleyball,21,male,no
7749,Hai Phong,volleyball,21,female,yes
7750,Hai Duong,volleyball,19,male,yes
7751,Ha Noi,football,20,female,yes
7752,Hai Phong,volleyball,18,female,no
7753,Hai Phong,badminton,22,female,yes
7754,Ca Mau,badminton,23,female,no
7755,Ha Noi,football,21,male,no
7756,Hai Duong,volleyball,22,male,no
7757,Vinh,marathon,23,female,no
7758,Binh Duong,marathon,18,female,no
7759,Ca Mau,marathon,18,male,yes
7760,Vinh,football,21,male,no
7761,Vinh,football,22,female,yes
7762,Hai Duong,volleyball,18,female,yes
7763,Vinh,marathon,21,male,no
7764,Ha Noi,badminton,20,male,yes
7765,Hai Duong,football,19,female,no
7766,Vinh,marathon,18,male,yes
7767,Vinh Phuc,badminton,19,female,yes
7768,Ca Mau,volleyball,18,male,yes
7769,Ha Noi,football,22,female,no
7770,Hai Duong,badminton,20,male,yes
7771,Ca Mau,football,22,male,yes
7772,Binh Duong,marathon,18,male,yes
7773,Hai Duong,volleyball,21,male,no
7774,Vinh,badminton,21,female,yes
7775,Hai Phong,marathon,19,male,yes
7776,Binh Duong,volleyball,20,male,yes
7777,Vinh Phuc,football,23,male,no
7778,Ca Mau,badminton,23,male,no
7779,Binh Duong,badminton,21,male,no
7780,Vinh,badminton,19,male,yes
7781,Ca Mau,marathon,21,female,no
7782,Binh Duong,badminton,18,female,yes
7783,Binh Duong,volleyball,21,male,yes
7784,Ca Mau,football,22,female,yes
7785,Vinh,volleyball,23,male,no
7786,Hai Duong,football,18,female,no
7787,Hai Duong,volleyball,21,male,no
7788,Vinh,badminton,22,female,no
7789,Ha Noi,badminton,22,female,yes
7790,Hai Duong,football,18,female,no
7791,Ca Mau,volleyball,23,female,no
7792,Hai Duong,football,23,female,yes
7793,Vinh,volleyball,20,male,yes
7794,Binh Duong,volleyball,22,male,no
7795,Vinh Phuc,football,18,female,no
7796,Hai Phong,volleyball,21,female,yes
7797,Vinh,marathon,20,female,yes
7798,Ha Noi,football,23,female,no
7799,Binh Duong,football,23,female,yes
7800,Vinh,football,22,male,no
7801,Hai Phong,volleyball,18,male,yes
7802,Ha Noi,marathon,23,female,yes
7803,Ca Mau,football,18,female,no
7804,Vinh,marathon,20,male,no
7805,Vinh,marathon,18,male,yes
7806,Ca Mau,football,18,male,yes
7807,Ca Mau,marathon,22,male,no
7808,Vinh,badminton,22,male,yes
7809,Ha Noi,marathon,18,female,no
7810,Ca Mau,volleyball,18,female,no
7811,Hai Duong,football,19,female,yes
7812,Binh Duong,volleyball,21,male,no
7813,Ha Noi,volleyball,19,male,yes
7814,Vinh,volleyball,20,male,yes
7815,Hai Phong,volleyball,22,female,yes
7816,Ha Noi,badminton,21,female,no
7817,Hai Duong,football,22,female,yes
7818,Ca Mau,badminton,21,male,yes
7819,Ca Mau,marathon,21,female,no
7820,Binh Duong,marathon,23,male,no
7821,Vinh Phuc,football,23,male,yes
7822,Ha Noi,badminton,18,male,yes
7823,Hai Phong,volleyball,20,male,no
7824,Vinh,marathon,20,female,no
7825,Vinh Phuc,badminton,21,female,no
7826,Hai Phong,volleyball,18,male,yes
7827,Vinh Phuc,badminton,22,female,yes
7828,Ha Noi,marathon,19,female,yes
7829,Vinh Phuc,badminton,21,female,yes
7830,Ca Mau,marathon,18,female,no
7831,Vinh,football,19,female,no
7832,Binh Duong,marathon,23,male,yes
7833,Ca Mau,marathon,23,male,yes
7834,Ha Noi,marathon,19,female,yes
7835,Hai Duong,football,20,male,no
7836,Ca Mau,marathon,19,male,no
7837,Hai Phong,volleyball,20,male,yes
7838,Binh Duong,volleyball,21,female,no
7839,Hai Duong,marathon,20,male,no
7840,Vinh,marathon,23,female,no
7841,Vinh Phuc,volleyball,20,female,no
7842,Binh Duong,marathon,19,male,no
7843,Vinh,marathon,21,male,yes
7844,Ha Noi,volleyball,20,male,no
7845,Vinh,volleyball,21,male,no
7846,Vinh,volleyball,18,female,no
7847,Binh Duong,volleyball,23,male,yes
7848,Vinh,volleyball,18,male,yes
7849,Hai Phong,badminton,19,female,yes
7850,Vinh Phuc,football,22,female,yes
7851,Ha Noi,marathon,22,female,yes
7852,Binh Duong,volleyball,22,male,yes
7853,Vinh,marathon,20,male,yes
7854,Vinh,volleyball,22,male,no
7855,Binh Duong,volleyball,23,female,no
7856,Binh Duong,football,18,male,yes
7857,Hai Duong,volleyball,19,male,yes
7858,Ca Mau,football,20,male,yes
7859,Ha Noi,football,22,female,no
7860,Binh Duong,badminton,19,female,no
7861,Binh Duong,football,20,female,yes
7862,Vinh Phuc,football,23,male,no
7863,Hai Duong,volleyball,21,male,yes
7864,Vinh,volleyball,22,male,yes
7865,Hai Duong,marathon,18,male,no
7866,Ha Noi,football,19,male,yes
7867,Vinh,football,18,female,no
7868,Hai Phong,marathon,20,female,no
7869,Vinh,football,20,female,no
7870,Hai Phong,badminton,18,female,yes
7871,Hai Phong,marathon,23,male,no
7872,Ha Noi,volleyball,20,female,yes
7873,Hai Phong,football,21,female,yes
7874,Hai Phong,volleyball,21,male,yes
7875,Binh Duong,football,23,female,no
7876,Vinh Phuc,marathon,18,male,yes
7877,Ca Mau,football,23,male,yes
7878,Ca Mau,badminton,22,female,no
7879,Hai Duong,volleyball,18,female,no
7880,Ha Noi,volleyball,20,female,no
7881,Ha Noi,volleyball,22,male,yes
7882,Vinh Phuc,football,20,female,no
7883,Ca Mau,football,22,female,no
7884,Vinh Phuc,badminton,21,male,no
7885,Ha Noi,volleyball,19,male,no
7886,Hai Phong,badminton,18,male,no
7887,Hai Duong,volleyball,18,male,no
7888,Binh Duong,football,20,female,no
7889,Vinh Phuc,football,18,male,yes
7890,Hai Phong,volleyball,21,female,yes
7891,Ha Noi,badminton,22,male,no
7892,Vinh,volleyball,18,female,yes
7893,Vinh,badminton,20,male,no
7894,Ca Mau,badminton,19,female,no
7895,Ca Mau,marathon,23,female,yes
7896,Vinh,badminton,21,female,yes
7897,Vinh Phuc,volleyball,22,male,no
7898,Vinh Phuc,marathon,18,male,yes
7899,Hai Duong,marathon,19,female,no
7900,Vinh,badminton,20,male,no
7901,Vinh,marathon,18,male,no
7902,Hai Phong,marathon,19,male,no
7903,Hai Duong,volleyball,20,female,yes
7904,Ca Mau,badminton,22,male,yes
7905,Ha Noi,marathon,23,male,yes
7906,Ha Noi,volleyball,20,female,no
7907,Vinh,volleyball,22,female,no
7908,Ha Noi,football,21,male,yes
7909,Ca Mau,marathon,21,male,yes
7910,Hai Phong,football,19,female,yes
7911,Vinh,football,22,female,no
7912,Binh Duong,marathon,23,female,no
7913,Binh Duong,marathon,23,male,yes
7914,Hai Duong,marathon,21,male,yes
7915,Binh Duong,volleyball,22,male,no
7916,Binh Duong,marathon,18,female,yes
7917,Ca Mau,marathon,19,female,no
7918,Ha Noi,badminton,21,male,yes
7919,Ha Noi,volleyball,18,female,yes
7920,Vinh,badminton,18,male,no
7921,Hai Phong,badminton,18,male,no
7922,Ca Mau,volleyball,19,female,yes
7923,Vinh,football,22,female,yes
7924,Ca Mau,volleyball,21,male,yes
7925,Ca Mau,volleyball,23,female,no
7926,Vinh Phuc,badminton,20,female,no
7927,Binh Duong,badminton,18,male,no
7928,Hai Phong,badminton,18,male,yes
7929,Ha Noi,marathon,20,male,no
7930,Vinh Phuc,football,23,female,yes
7931,Hai Phong,football,22,female,yes
7932,Ha Noi,volleyball,21,male,no
7933,Binh Duong,badminton,21,male,no
7934,Ha Noi,marathon,18,female,yes
7935,Hai Duong,volleyball,19,male,no
7936,Vinh,marathon,23,female,no
7937,Ca Mau,badminton,18,male,no
7938,Hai Phong,badminton,19,female,yes
7939,Binh Duong,badminton,19,male,yes
7940,Ha Noi,marathon,22,female,no
7941,Vinh Phuc,marathon,18,female,yes
7942,Vinh,marathon,22,female,yes
7943,Hai Phong,football,18,male,yes
7944,Vinh Phuc,football,21,male,no
7945,Hai Phong,badminton,21,female,no
7946,Ha Noi,badminton,19,female,yes
7947,Ca Mau,volleyball,19,female,no
7948,Hai Phong,volleyball,19,male,yes
7949,Binh Duong,volleyball,18,female,yes
7950,Vinh,football,22,male,yes
7951,Binh Duong,football,22,female,no
7952,Ca Mau,volleyball,22,female,yes
7953,Vinh Phuc,marathon,20,male,no
7954,Hai Phong,marathon,19,female,no
7955,Vinh Phuc,badminton,22,female,no
7956,Vinh Phuc,volleyball,23,male,no
7957,Ca Mau,football,18,male,yes
7958,Vinh,badminton,19,female,yes
7959,Ha Noi,football,20,female,yes
7960,Hai Duong,volleyball,19,male,no
7961,Hai Phong,badminton,23,female,yes
7962,Vinh,badminton,23,male,yes
7963,Ca Mau,marathon,22,female,no
7964,Binh Duong,volleyball,22,female,yes
7965,Ca Mau,volleyball,22,male,no
7966,Binh Duong,badminton,21,female,no
7967,Vinh Phuc,football,19,male,yes
7968,Hai Phong,football,23,male,yes
7969,Hai Duong,volleyball,20,female,no
7970,Vinh Phuc,volleyball,23,male,no
7971,Hai Phong,football,20,female,no
7972,Hai Duong,volleyball,18,male,no
7973,Vinh Phuc,football,22,male,yes
7974,Hai Phong,badminton,21,female,no
7975,Hai Duong,marathon,23,male,yes
7976,Ha Noi,marathon,22,male,no
7977,Ha Noi,football,18,female,no
7978,Vinh,marathon,22,male,no
7979,Ha Noi,volleyball,18,male,yes
7980,Vinh,volleyball,18,female,yes
7981,Ha Noi,marathon,21,female,yes
7982,Hai Phong,badminton,22,female,no
7983,Binh Duong,badminton,21,female,no
7984,Ha Noi,volleyball,20,female,no
7985,Hai Phong,volleyball,22,female,no
7986,Vinh Phuc,badminton,22,female,yes
7987,Hai Duong,marathon,23,female,yes
7988,Ha Noi,marathon,22,male,no
7989,Binh Duong,football,20,female,yes
7990,Vinh Phuc,badminton,22,male,yes
7991,Vinh Phuc,volleyball,21,female,yes
7992,Ha Noi,football,19,male,no
7993,Ca Mau,marathon,20,male,yes
7994,Binh Duong,marathon,21,female,yes
7995,Binh Duong,badminton,18,male,no
7996,Vinh Phuc,football,21,male,yes
7997,Hai Phong,volleyball,23,female,no
7998,Vinh,marathon,21,female,no
7999,Vinh,football,22,female,yes
8000,Hai Duong,football,19,male,no
8001,Ca Mau,marathon,20,male,no
8002,Binh Duong,marathon,23,male,no
8003,Vinh,marathon,21,male,yes
8004,Hai Duong,football,18,male,no
8005,Vinh Phuc,volleyball,18,male,yes
8006,Ha Noi,marathon,21,female,no
8007,Vinh,volleyball,19,female,yes
8008,Vinh,volleyball,22,male,yes
8009,Hai Duong,badminton,23,male,yes
8010,Ha Noi,volleyball,23,male,no
8011,Hai Duong,marathon,18,female,no
8012,Ca Mau,marathon,23,female,no
8013,Binh Duong,marathon,19,male,yes
8014,Hai Duong,marathon,23,female,no
8015,Ca Mau,marathon,18,female,yes
8016,Vinh,badminton,21,female,yes
8017,Hai Phong,volleyball,21,male,no
8018,Ca Mau,volleyball,22,female,no
8019,Hai Phong,volleyball,22,female,no
8020,Ca Mau,marathon,19,male,no
8021,Ha Noi,marathon,22,female,yes
8022,Vinh Phuc,football,21,male,no
8023,Hai Phong,football,18,male,no
8024,Hai Duong,badminton,19,male,no
8025,Hai Phong,badminton,23,male,no
8026,Vinh Phuc,volleyball,23,male,yes
8027,Ha Noi,badminton,20,female,yes
8028,Hai Duong,volleyball,23,male,no
8029,Ca Mau,football,23,male,yes
8030,Vinh Phuc,football,22,male,yes
8031,Vinh,marathon,20,female,yes
8032,Binh Duong,volleyball,20,female,yes
8033,Vinh Phuc,football,20,male,no
8034,Ca Mau,volleyball,19,female,no
8035,Ha Noi,marathon,20,male,yes
8036,Binh Duong,marathon,19,male,yes
8037,Binh Duong,badminton,18,male,no
8038,Vinh Phuc,football,22,female,no
8039,Ha Noi,volleyball,19,male,no
8040,Hai Phong,volleyball,21,female,yes
8041,Binh Duong,volleyball,19,male,yes
8042,Hai Phong,volleyball,21,male,yes
8043,Vinh Phuc,badminton,23,female,no
8044,Ha Noi,volleyball,23,female,no
8045,Hai Duong,badminton,18,male,no
8046,Hai Phong,marathon,18,male,yes
8047,Vinh,marathon,20,female,yes
8048,Vinh,football,18,male,yes
8049,Ha Noi,badminton,20,female,yes
8050,Binh Duong,marathon,21,male,yes
8051,Vinh,football,18,male,yes
8052,Ca Mau,marathon,23,male,no
8053,Vinh,badminton,23,male,yes
8054,Binh Duong,marathon,22,female,yes
8055,Hai Phong,football,21,female,no
8056,Vinh,badminton,19,female,yes
8057,Hai Phong,football,21,female,no
8058,Vinh Phuc,volleyball,22,female,yes
8059,Vinh Phuc,football,18,female,yes
8060,Ha Noi,marathon,18,male,yes
8061,Vinh,football,19,male,no
8062,Vinh Phuc,badminton,21,female,no
8063,Binh Duong,marathon,22,female,yes
8064,Ha Noi,badminton,19,female,no
8065,Ha Noi,badminton,22,male,no
8066,Vinh,marathon,22,male,yes
8067,Ha Noi,football,19,male,yes
8068,Binh Duong,volleyball,21,male,yes
8069,Ha Noi,marathon,20,male,no
8070,Vinh Phuc,football,20,female,yes
8071,Ca Mau,volleyball,22,female,no
8072,Vinh Phuc,marathon,23,male,yes
8073,Binh Duong,marathon,22,female,no
8074,Hai Duong,football,22,male,yes
8075,Ha Noi,football,20,female,no
8076,Hai Phong,badminton,23,male,no
8077,Ca Mau,football,21,male,no
8078,Vinh Phuc,marathon,18,female,no
8079,Binh Duong,badminton,21,female,yes
8080,Binh Duong,football,20,female,yes
8081,Ha Noi,badminton,19,female,yes
8082,Vinh,marathon,18,male,yes
8083,Hai Duong,volleyball,23,female,no
8084,Vinh,badminton,22,female,yes
8085,Vinh Phuc,football,19,female,no
8086,Ca Mau,marathon,21,female,no
8087,Vinh,badminton,20,female,yes
8088,Ca Mau,marathon,22,female,no
8089,Vinh Phuc,volleyball,21,male,no
8090,Ca Mau,volleyball,22,female,no
8091,Hai Duong,marathon,22,female,yes
8092,Binh Duong,volleyball,23,female,no
8093,Hai Duong,badminton,22,male,yes
8094,Hai Phong,football,20,female,no
8095,Ca Mau,volleyball,18,female,yes
8096,Ha Noi,badminton,20,male,no
8097,Vinh,football,21,male,no
8098,Vinh Phuc,marathon,20,female,no
8099,Binh Duong,badminton,23,male,yes
8100,Hai Duong,volleyball,21,male,no
8101,Hai Phong,volleyball,23,male,yes
8102,Ha Noi,volleyball,20,female,yes
8103,Hai Duong,badminton,19,male,yes
8104,Binh Duong,marathon,21,male,yes
8105,Vinh,volleyball,19,female,yes
8106,Ca Mau,marathon,20,female,yes
8107,Vinh Phuc,volleyball,22,male,yes
8108,Binh Duong,volleyball,23,female,no
8109,Hai Phong,marathon,23,female,no
8110,Hai Duong,volleyball,23,male,no
8111,Binh Duong,badminton,20,male,yes
8112,Ha Noi,volleyball,22,female,yes
8113,Hai Phong,football,22,female,no
8114,Ca Mau,marathon,22,male,no
8115,Hai Duong,football,19,female,no
8116,Hai Phong,football,19,male,yes
8117,Ca Mau,badminton,23,male,yes
8118,Vinh,badminton,19,male,yes
8119,Hai Duong,volleyball,23,female,yes
8120,Ha Noi,volleyball,20,female,no
8121,Ca Mau,football,18,female,no
8122,Hai Duong,football,20,female,no
8123,Binh Duong,marathon,18,female,no
8124,Binh Duong,marathon,20,male,yes
8125,Vinh,football,20,male,yes
8126,Ca Mau,badminton,21,male,yes
8127,Hai Phong,marathon,22,male,yes
8128,Vinh Phuc,football,22,male,yes
8129,Binh Duong,badminton,23,male,yes
8130,Ha Noi,volleyball,20,male,yes
8131,Binh Duong,badminton,18,male,no
8132,Binh Duong,marathon,20,male,yes
8133,Ha Noi,marathon,18,male,yes
8134,Vinh Phuc,football,22,male,yes
8135,Hai Phong,football,22,male,yes
8136,Hai Phong,football,18,female,no
8137,Ca Mau,football,22,male,yes
8138,Hai Phong,badminton,23,male,yes
8139,Vinh,volleyball,19,male,no
8140,Hai Duong,volleyball,18,male,no
8141,Ha Noi,football,21,male,no
8142,Binh Duong,volleyball,20,male,no
8143,Binh Duong,football,18,female,yes
8144,Hai Duong,football,18,female,yes
8145,Hai Duong,badminton,21,female,yes
8146,Ha Noi,badminton,22,female,yes
8147,Vinh Phuc,marathon,20,female,no
8148,Hai Phong,marathon,21,male,no
8149,Ha Noi,marathon,23,female,yes
8150,Ca Mau,football,22,male,no
8151,Ha Noi,football,20,female,yes
8152,Hai Duong,marathon,19,female,yes
8153,Binh Duong,volleyball,23,male,yes
8154,Vinh,badminton,18,male,no
8155,Hai Duong,volleyball,19,female,no
8156,Binh Duong,badminton,19,male,no
8157,Vinh,marathon,18,female,yes
8158,Ha Noi,volleyball,18,male,no
8159,Vinh,marathon,19,male,yes
8160,Ca Mau,football,18,male,no
8161,Binh Duong,badminton,22,female,no
8162,Ca Mau,marathon,20,female,yes
8163,Ha Noi,football,19,female,yes
8164,Ca Mau,volleyball,19,male,yes
8165,Vinh,marathon,18,female,no
8166,Vinh Phuc,marathon,19,female,yes
8167,Ha Noi,badminton,23,female,yes
8168,Binh Duong,volleyball,20,male,no
8169,Vinh Phuc,football,20,male,no
8170,Hai Phong,football,18,female,no
8171,Ca Mau,volleyball,21,male,no
8172,Vinh,badminton,22,female,no
8173,Binh Duong,football,22,male,yes
8174,Ha Noi,badminton,18,female,no
8175,Ca Mau,badminton,22,female,yes
8176,Ha Noi,marathon,21,female,yes
8177,Vinh,football,21,female,yes
8178,Vinh Phuc,football,22,female,yes
8179,Hai Phong,badminton,23,female,yes
8180,Vinh,volleyball,20,female,no
8181,Ha Noi,volleyball,23,female,no
8182,Hai Duong,marathon,19,female,yes
8183,Vinh Phuc,marathon,23,male,no
8184,Hai Duong,volleyball,23,female,yes
8185,Ha Noi,badminton,21,male,no
8186,Hai Duong,football,18,female,yes
8187,Hai Duong,volleyball,19,male,yes
8188,Ha Noi,badminton,18,female,no
8189,Hai Duong,volleyball,21,male,yes
8190,Hai Phong,volleyball,22,female,yes
8191,Hai Phong,volleyball,23,male,no
8192,Vinh,volleyball,20,female,no
8193,Binh Duong,marathon,18,male,yes
8194,Hai Phong,volleyball,22,male,no
8195,Ha Noi,volleyball,19,male,no
8196,Ca Mau,marathon,22,female,no
8197,Hai Duong,badminton,22,male,no
8198,Hai Duong,football,20,male,yes
8199,Hai Duong,football,18,female,yes
8200,Vinh Phuc,badminton,21,male,no
8201,Binh Duong,badminton,21,female,yes
8202,Hai Phong,marathon,19,female,yes
8203,Hai Duong,marathon,20,male,no
8204,Ha Noi,volleyball,21,female,yes
8205,Vinh Phuc,marathon,19,male,no
8206,Vinh Phuc,football,23,male,yes
8207,Hai Duong,marathon,20,male,no
8208,Vinh Phuc,badminton,19,male,yes
8209,Ha Noi,marathon,23,female,no
8210,Ca Mau,football,19,male,no
8211,Hai Phong,football,20,female,no
8212,Vinh Phuc,badminton,22,male,yes
8213,Binh Duong,badminton,18,male,no
8214,Hai Phong,volleyball,23,female,no
8215,Hai Phong,volleyball,20,male,no
8216,Vinh Phuc,football,19,female,no
8217,Binh Duong,marathon,19,female,yes
8218,Hai Duong,volleyball,23,male,no
8219,Ca Mau,football,20,male,no
8220,Vinh Phuc,football,18,male,yes
8221,Hai Phong,marathon,21,male,yes
8222,Binh Duong,marathon,23,female,no
8223,Hai Duong,football,23,male,no
8224,Vinh,football,20,female,no
8225,Binh Duong,marathon,23,female,no
8226,Hai Phong,volleyball,20,male,no
8227,Vinh Phuc,football,20,female,no
8228,Vinh,marathon,23,female,yes
8229,Ha Noi,badminton,23,female,no
8230,Hai Duong,volleyball,20,male,yes
8231,Vinh Phuc,volleyball,18,male,no
8232,Ca Mau,marathon,18,male,no
8233,Vinh,marathon,22,female,yes
8234,Vinh,volleyball,22,male,yes
8235,Hai Phong,marathon,22,female,yes
8236,Ha Noi,marathon,21,female,yes
8237,Ha Noi,badminton,19,female,yes
8238,Vinh Phuc,volleyball,20,male,yes
8239,Vinh Phuc,marathon,22,female,no
8240,Vinh,badminton,21,female,yes
8241,Ca Mau,football,21,male,no
8242,Hai Duong,volleyball,20,female,yes
8243,Ca Mau,volleyball,23,male,no
8244,Ha Noi,marathon,19,female,no
8245,Ha Noi,volleyball,22,female,yes
8246,Vinh,marathon,20,male,no
8247,Ca Mau,badminton,18,female,no
8248,Hai Phong,marathon,23,female,yes
8249,Ca Mau,marathon,20,female,yes
8250,Vinh,badminton,20,female,no
8251,Binh Duong,marathon,21,female,no
8252,Ha Noi,football,18,female,yes
8253,Vinh,marathon,20,male,yes
8254,Ca Mau,volleyball,23,male,yes
8255,Binh Duong,volleyball,18,female,yes
8256,Hai Phong,football,18,male,yes
8257,Ha Noi,volleyball,23,male,yes
8258,Ca Mau,badminton,23,female,no
8259,Ha Noi,badminton,22,male,yes
8260,Ca Mau,badminton,21,female,yes
8261,Vinh,volleyball,18,male,yes
8262,Vinh,volleyball,21,female,no
8263,Vinh Phuc,marathon,19,male,yes
8264,Ha Noi,volleyball,23,male,yes
8265,Vinh Phuc,badminton,23,male,no
8266,Ha Noi,badminton,23,female,yes
8267,Binh Duong,badminton,21,male,yes
8268,Hai Duong,volleyball,18,male,yes
8269,Ha Noi,volleyball,21,female,no
8270,Ca Mau,volleyball,21,female,yes
8271,Ha Noi,volleyball,20,female,no
8272,Hai Phong,volleyball,19,male,yes
8273,Ha Noi,football,19,female,no
8274,Binh Duong,volleyball,20,male,yes
8275,Binh Duong,badminton,20,male,no
8276,Binh Duong,volleyball,20,female,no
8277,Binh Duong,volleyball,19,female,no
8278,Ha Noi,football,23,female,yes
8279,Ha Noi,volleyball,23,male,yes
8280,Ca Mau,marathon,19,male,no
8281,Binh Duong,marathon,18,female,yes
8282,Ha Noi,badminton,22,female,yes
8283,Vinh Phuc,badminton,20,male,yes
8284,Vinh Phuc,football,23,female,yes
8285,Ca Mau,badminton,19,female,yes
8286,Vinh Phuc,badminton,20,female,no
8287,Vinh,marathon,23,female,no
8288,Binh Duong,football,20,female,yes
8289,Vinh Phuc,football,19,female,yes
8290,Ca Mau,volleyball,22,male,no
8291,Binh Duong,badminton,22,male,no
8292,Ha Noi,badminton,18,female,yes
8293,Ha Noi,volleyball,22,female,no
8294,Vinh Phuc,marathon,23,female,yes
8295,Vinh Phuc,marathon,18,female,no
8296,Hai Duong,football,19,female,no
8297,Hai Phong,badminton,18,female,yes
8298,Vinh Phuc,badminton,21,male,yes
8299,Vinh Phuc,badminton,21,female,no
8300,Vinh Phuc,volleyball,21,male,no
8301,Ha Noi,badminton,18,male,yes
8302,Vinh,badminton,23,female,no
8303,Hai Phong,marathon,21,male,no
8304,Ca Mau,football,18,male,yes
8305,Hai Phong,marathon,19,female,no
8306,Vinh,badminton,21,female,yes
8307,Binh Duong,marathon,18,male,yes
8308,Vinh Phuc,football,19,female,yes
8309,Hai Duong,football,22,female,yes
8310,Vinh Phuc,badminton,19,male,yes
8311,Ca Mau,volleyball,22,male,yes
8312,Hai Phong,badminton,20,male,yes
8313,Hai Phong,marathon,21,male,yes
8314,Vinh,marathon,19,male,yes
8315,Binh Duong,marathon,23,male,yes
8316,Ha Noi,badminton,22,female,yes
8317,Vinh Phuc,volleyball,23,male,yes
8318,Ca Mau,marathon,22,female,yes
8319,Binh Duong,football,23,female,no
8320,Ha Noi,marathon,21,male,no
8321,Vinh Phuc,volleyball,20,female,no
8322,Hai Phong,marathon,19,female,no
8323,Vinh,badminton,18,female,yes
8324,Vinh Phuc,football,21,female,yes
8325,Ca Mau,football,20,male,no
8326,Hai Duong,volleyball,22,female,no
8327,Hai Phong,badminton,20,male,yes
8328,Vinh Phuc,volleyball,23,female,yes
8329,Hai Duong,football,20,male,no
8330,Hai Phong,badminton,22,male,no
8331,Ca Mau,badminton,23,male,no
8332,Hai Duong,volleyball,18,female,no
8333,Vinh Phuc,football,20,female,yes
8334,Ha Noi,marathon,19,male,yes
8335,Ca Mau,badminton,18,male,yes
8336,Hai Duong,marathon,18,male,yes
8337,Ha Noi,badminton,20,male,yes
8338,Vinh Phuc,volleyball,18,female,no
8339,Vinh Phuc,volleyball,21,female,yes
8340,Hai Duong,football,19,male,no
8341,Vinh,badminton,19,female,no
8342,Hai Phong,volleyball,19,female,no
8343,Vinh,marathon,18,female,yes
8344,Hai Duong,badminton,22,female,no
8345,Ha Noi,marathon,21,male,yes
8346,Vinh,football,21,male,no
8347,Ha Noi,marathon,21,male,no
8348,Hai Phong,badminton,22,female,yes
8349,Vinh Phuc,marathon,21,male,no
8350,Ca Mau,badminton,18,female,no
8351,Binh Duong,marathon,21,female,no
8352,Hai Duong,volleyball,22,male,no
8353,Binh Duong,volleyball,20,female,yes
8354,Binh Duong,football,18,female,no
8355,Hai Duong,football,22,female,no
8356,Ca Mau,football,18,female,no
8357,Binh Duong,badminton,19,female,no
8358,Vinh,football,18,male,yes
8359,Hai Duong,marathon,22,female,yes
8360,Hai Duong,football,18,female,no
8361,Ca Mau,marathon,22,female,yes
8362,Vinh Phuc,football,20,female,no
8363,Ha Noi,volleyball,18,female,no
8364,Ha Noi,football,22,male,yes
8365,Hai Duong,marathon,20,female,no
8366,Vinh Phuc,marathon,20,male,yes
8367,Binh Duong,volleyball,19,male,no
8368,Vinh,badminton,19,male,yes
8369,Vinh Phuc,volleyball,22,female,yes
8370,Binh Duong,volleyball,23,female,no
8371,Ca Mau,badminton,23,female,yes
8372,Vinh Phuc,marathon,22,male,no
8373,Ca Mau,football,20,male,yes
8374,Vinh Phuc,marathon,22,female,yes
8375,Ca Mau,football,20,female,no
8376,Ha Noi,football,21,female,no
8377,Vinh Phuc,marathon,18,male,yes
8378,Ha Noi,marathon,23,female,no
8379,Vinh Phuc,marathon,18,female,no
8380,Vinh,badminton,22,female,yes
8381,Vinh Phuc,volleyball,22,male,yes
8382,Vinh Phuc,marathon,19,female,yes
8383,Vinh Phuc,football,21,female,no
8384,Hai Phong,volleyball,21,male,yes
8385,Hai Phong,badminton,23,male,yes
8386,Hai Phong,marathon,20,male,yes
